Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~UTAT_data handling.PrjPcb|ReportField=ProjectFullPath~C:\Users\jim\Desktop\import-master\import\Electrical Design Files\SAM3X board\UTAT-data_handling 2014-11-07\UTAT_data handling.PrjPcb|ReportField=Title~Bill of Materials For Project [UTAT_data handling.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~168|ReportField=ReportTime~2:19:56 PM|ReportField=ReportDate~9/01/2015|ReportField=ReportDateTime~9/01/2015 2:19:56 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~9/01/2015|ReportField=CurrentTime~2:13:48 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\jim\Desktop\import-master\import\Electrical Design Files\SAM3X board\UTAT-data_handling 2014-11-07\Top Level.SchDoc|ReportField=DocumentName~Top Level.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~18/12/2014|ReportField=Organization~|ReportField=ProjectName~UTAT_data handling.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~UTAT_data handling.PrjPcb|ReportField=DataSourceFullPath~C:\Users\jim\Desktop\import-master\import\Electrical Design Files\SAM3X board\UTAT-data_handling 2014-11-07\UTAT_data handling.PrjPcb
Header 4|Header, 4-Pin|J17, J20|HDR1X4|Header 4|2
Header 3 (Bypass)|Header, 3-Pin|J30|HDR1X3|Header 3|1
Header 2|Header, 2-Pin|JP1-1, JP1-2, JP1-3, JP1-4, JP1-5, JP1-6, JP3, JP11, JP22, JP23|HDR1X2|Header 2|10
Header 3|Header, 3-Pin, fix symbol later, Header, 3-Pin, Header, 3-Pin, Header, 3-Pin, Header, 3-Pin|JP7, JP17, JP18, JP19, JP20|HDR1X3|Header 3|5
Inductor|DigiKey: 587-1691-1-ND|L1, L2, L3|0805 Resistor|Inductor|3
ATSAM3X8EA-AU|ATSAM3X8EA-AU ARM CORTEX M3 Microcontroller|MCU|LQFP144_M|ATSAM3X8E|1
ZEN056V130A|Digi-key number: ZEN056V130A24LSCT-ND|MN1|ZEN056V130A24L|ZEN0656V130A|1
BNX002-01|Digikey number: 490-5053-ND|MN2|BNX002|BNX002-01|1
MIC29152WU|Mircel's 1.5A LDO TO263-5. Digikey Number: 576-3367-5-ND|MN3|MIC29152WU|MIC29152WU|1
AT24C512C|Digikey Number: AT24C512C-SSHD-TCT-ND|MN12|AT24C512C|AT24C512C|1
MAX3232CSE|Digikey Number: MAX3232CSE+-ND|MN14|SOIC127P570X175-16N|MAX3232CSE|1
ADM3312EARU|Digikey Number: ADM3312EARUZ-ND|MN16|TSOP65P640X120-24N|ADM3312EARU|1
SN65HVD234DR|3.3V CAN Transceiver with Sleep Mode, 6 mA, -40 to Digi-Key Number 296-27991-1-ND, Digi-Key Number 296-27991-1-ND|MN17, MN18|D8_L|SN65HVD234DR|2
IRLML6401|Digikey Part Number: IRLML6401PBFCT-ND|Q1|3 Pin SOT-23|IRLML6401|1
IRLML2502|DigiKey Part no: IRLML2502PBFCT-ND|Q2, Q3|3 Pin SOT-23|IRLML2502|2
0805 Resistor|0805 Thick Film Resistor 1%|R1, R2, R3, R4, R5, R6, R7, R10, R11, R12, R13, R14, R16, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R83, R111, R112, R119, R120, R121, R122, R123, R124, R125, R126, R127, R128, R129, R130, R131, R132, R133, R134, R135, R136, R137, R138, R139, R140, R200, R201, R202, R203, R204, R205, R206, RR7-1, RR7-2, RR7-3, RR7-4|0805 Resistor|0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%_1, 0805 Thick Film Resistor 1%_1, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%_1, 0805 Thick Film Resistor 1%_1, 0805 Thick Film Resistor 1%_1, 0805 Thick Film Resistor 1%_1, 0805 Thick Film Resistor 1%_1, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%, 0805 Thick Film Resistor 1%_1, 0805 Thick Film Resistor 1%_1, 0805 Thick Film Resistor 1%_1, 0805 Thick Film Resistor 1%_1|61
12MHz|Digi-Key Part Number 887-1458-1-ND|Y1|7V-12.000MAAE-T|4-Pin Oscillator|1
XTAL|Digikey Number: 535-9544-1-ND|Y2|ABS07|XTAL|1
